    ----------------
    p      eb(p)
    ----------------
    1.     0.4444444  
    2.     0.3640475  
    3.     0.3425337  
    4.     0.3365275  
    5.     0.3348311  
    6.     0.3343504  
    7.     0.3342141  
    8.     0.3341754  
    9.     0.3341644  
    10.    0.3341613  
    11.    0.3341604  
    12.    0.3341602  
    13.    0.3341601  
    14.    0.3341601  
    15.    0.3341601  
    16.    0.3341601  
    17.    0.3341601  
    18.    0.3341601  
    19.    0.3341601  
    20.    0.3341601  
 
